queue_id,cluster_level,cluster_id,cluster_size,representative_image_ids,space_axis_tags,temporal_axis_tags,weather_light_axis_tags,subject_axis_tags,mood_axis_tags,usage_axis_tags,design_affordance_axis_tags,confidence_status,notes
cluster_label_queue_v1__coarse__coarse_20_0000,coarse,coarse_20_0000,4,raw_4e39435909|raw_2eaf462c16|raw_d9022526d3|raw_1eeb7232a9,,,,,,,,human_cluster_label_pending,대표 이미지 기준으로도 cluster-level tag 전파가 안전하지 않아 assertion 보류.
cluster_label_queue_v1__coarse__coarse_20_0001,coarse,coarse_20_0001,7,raw_97eb3ef7cd|raw_af7ef5a4c3|raw_01461f5add|raw_171a797d54|raw_dbc4569a46,"garden,path",,,"tree,path","quiet,calm",,,diagnostic_cluster_label,snow/winter 이미지와 non-snow 이미지가 섞여 있어 temporal/weather tag는 부여하지 않음. cluster 전체 전파 기준으로는 garden/path/tree 정도만 제안. human-reviewed coarse cluster label. temporal/weather/usage/design_affordance axes intentionally left blank.
cluster_label_queue_v1__coarse__coarse_20_0002,coarse,coarse_20_0002,6,raw_f87d58016b|raw_66d595ed3e|raw_297d31b4ef|raw_3abab99064|raw_1a9d7aebc4,forest,,,tree,"calm,open",,,diagnostic_cluster_label,산림/수목 원경 중심 cluster. autumn/snow/green foliage가 섞여 있어 temporal/weather tag는 부여하지 않음. human-reviewed coarse cluster label. temporal/weather/usage/design_affordance axes intentionally left blank.
cluster_label_queue_v1__coarse__coarse_20_0003,coarse,coarse_20_0003,11,raw_61fc86118e|raw_7f5320f89f|raw_735aba25cc|raw_95003c4a96|raw_553035c3d0,"architecture,garden",,,"building,tree","quiet,calm",,,diagnostic_cluster_label,한옥/누각/실내 목조건축과 정원 조망이 섞인 cluster. sculpture는 일부 이미지에만 해당하므로 cluster-level tag로 부여하지 않음. human-reviewed coarse cluster label. temporal/weather/usage/design_affordance axes intentionally left blank.
cluster_label_queue_v1__coarse__coarse_20_0004,coarse,coarse_20_0004,21,raw_572e8cc431|raw_03979ecf06|raw_448aa545e9|raw_d1b48c4dcb|raw_2a834b6409,"architecture,garden,forest",,,"building,tree","quiet,calm",,,diagnostic_cluster_label,현대 건축물과 숲/정원 환경이 함께 나타나는 cluster. 실내/야외가 섞여 있어 indoor/path는 확정 태그로 부여하지 않음. human-reviewed coarse cluster label. temporal/weather/usage/design_affordance axes intentionally left blank.
cluster_label_queue_v1__coarse__coarse_20_0005,coarse,coarse_20_0005,14,raw_502843a887|raw_c9fb41f69a|raw_d33f8a9f18|raw_1e0c34f4ae|raw_bc5f26f1fa,"garden,flowerbed",,,"flower,plant_detail","calm,bright",,,diagnostic_cluster_label,꽃/식물 근접 사진 cluster. 계절은 꽃 종류별 개화 시기 판단이 필요하므로 비움. human-reviewed coarse cluster label. temporal/weather/usage/design_affordance axes intentionally left blank.
cluster_label_queue_v1__coarse__coarse_20_0006,coarse,coarse_20_0006,26,raw_ff74488cd9|raw_9d4a2beade|raw_a2e4454028|raw_2d2dd65cb0|raw_8d5bb10a16,"architecture,path",,,"building,path","quiet,solemn",,,diagnostic_cluster_label,현대 건축 내부/벽면/통로/외부 진입로가 섞인 cluster. 조형물처럼 보이는 이미지가 일부 있으나 cluster-level sculpture tag는 보류. human-reviewed coarse cluster label. temporal/weather/usage/design_affordance axes intentionally left blank.
cluster_label_queue_v1__coarse__coarse_20_0007,coarse,coarse_20_0007,25,raw_9fe8761d5a|raw_7a7dc4ec93|raw_ade5896e2e|raw_7400374ac0|raw_c2e785628f,"architecture,garden",,,"building,tree","calm,open",,,diagnostic_cluster_label,건축물이 숲/잔디/설경과 함께 보이는 mixed cluster. snow 이미지와 green field 이미지가 섞여 temporal/weather tag는 비움. human-reviewed coarse cluster label. temporal/weather/usage/design_affordance axes intentionally left blank.
cluster_label_queue_v1__coarse__coarse_20_0008,coarse,coarse_20_0008,11,raw_208d2d0895|raw_0265165be9|raw_3a5d8f8832|raw_ffb8abb1a8|raw_6b7da5b76b,"forest,garden",,,tree,"quiet,dense",,,diagnostic_cluster_label,숲길/안개 낀 수목/꽃/가을 숲 이미지가 섞인 cluster. foggy/autumn은 일부 이미지에만 해당하므로 weather/temporal tag는 비움. human-reviewed coarse cluster label. temporal/weather/usage/design_affordance axes intentionally left blank.
cluster_label_queue_v1__coarse__coarse_20_0009,coarse,coarse_20_0009,14,raw_2f24639a54|raw_6e52d00c71|raw_c01d2de4c0|raw_1706a44540|raw_d64c6196f5,architecture,,,building,"quiet,open,calm",,,diagnostic_cluster_label,건축 프레임에서 산/정원/길을 조망하는 이미지가 많은 cluster. 계절/날씨는 혼재되어 비움. human-reviewed coarse cluster label. temporal/weather/usage/design_affordance axes intentionally left blank.
cluster_label_queue_v1__coarse__coarse_20_0010,coarse,coarse_20_0010,2,raw_c310b5be34|raw_ebe21d1cfd,"water,flowerbed,garden",,,"flower,plant_detail,water_feature",calm,,,diagnostic_cluster_label,수련/연꽃 계열의 수생식물 근접 cluster. 계절은 확정하지 않음. human-reviewed coarse cluster label. temporal/weather/usage/design_affordance axes intentionally left blank.
cluster_label_queue_v1__coarse__coarse_20_0011,coarse,coarse_20_0011,5,raw_681edda32e|raw_0a5bd0d204|raw_19c9aa3ffa|raw_c2c0208981|raw_b37dfe627b,"garden,water,flowerbed",,,"flower,water_feature","calm,open",,,diagnostic_cluster_label,연못/수변 정원과 꽃 이미지가 섞인 cluster. 계절은 일부 이미지가 가을 또는 여름처럼 보이나 cluster-level 확정은 보류. human-reviewed coarse cluster label. temporal/weather/usage/design_affordance axes intentionally left blank.
cluster_label_queue_v1__coarse__coarse_20_0012,coarse,coarse_20_0012,9,raw_277a82318c|raw_4e6c171e96|raw_38bfd0e4cd|raw_2c3293b2b9|raw_bfd9e19ca6,"architecture,indoor,garden",,,"building,empty_space,tree","quiet,calm",,,diagnostic_cluster_label,실내/반실내 목조건축과 창밖 정원 조망 cluster. 계절/날씨는 창밖 풍경이 섞여 있어 비움. human-reviewed coarse cluster label. temporal/weather/usage/design_affordance axes intentionally left blank.
cluster_label_queue_v1__coarse__coarse_20_0013,coarse,coarse_20_0013,8,raw_e6b27b849a|raw_efe4c4c060|raw_d206795824|raw_e1064a803d|raw_04cecb0a9c,"garden,flowerbed",,,"flower,tree,plant_detail","bright,calm,open",,,diagnostic_cluster_label,개화한 수목/정원 경관 중심 cluster. 꽃 색과 잔디가 뚜렷하지만 계절은 식물종 확인 전까지 보류. human-reviewed coarse cluster label. temporal/weather/usage/design_affordance axes intentionally left blank.
cluster_label_queue_v1__coarse__coarse_20_0014,coarse,coarse_20_0014,14,raw_721e07ba0a|raw_31b278973b|raw_4584fbd0b1|raw_5714fe4daf|raw_4b11a22112,garden,,,tree,"calm,open",,,diagnostic_cluster_label,잔디/수목/정원 경관 cluster. 흑백 이미지와 녹음 이미지가 섞여 temporal/weather tag는 보류. human-reviewed coarse cluster label. temporal/weather/usage/design_affordance axes intentionally left blank.
cluster_label_queue_v1__coarse__coarse_20_0015,coarse,coarse_20_0015,10,raw_39a0295efc|raw_5ed5b2d6c4|raw_22d63fd86a|raw_3375f5ca20|raw_ab1479ebb7,"architecture,garden",,,"building,tree","quiet,calm,open",,,diagnostic_cluster_label,전통 건축/누각/정원 경관 cluster. 수변 요소가 일부 있으나 전체적으로는 건축+정원 조망으로 제안. human-reviewed coarse cluster label. temporal/weather/usage/design_affordance axes intentionally left blank.
cluster_label_queue_v1__coarse__coarse_20_0016,coarse,coarse_20_0016,6,raw_faf2998d9e|raw_172c623e65|raw_0600563ca5|raw_3458f4c869|raw_f75d8b6c40,architecture,,,building,"solemn,quiet",,,diagnostic_cluster_label,현대 건축의 벽면/개구부/공간 디테일 cluster. 외부 정원 조망이 일부 있으나 subject는 building 중심. human-reviewed coarse cluster label. temporal/weather/usage/design_affordance axes intentionally left blank.
cluster_label_queue_v1__coarse__coarse_20_0017,coarse,coarse_20_0017,6,raw_4c231302c4|raw_09572549a0|raw_67ac209ecc|raw_e9b4c4e62c|raw_83afcab58c,path,,,path,,,,diagnostic_cluster_label,"지도/동선/도면류 cluster. 실제 경관 사진이 아니므로 공간 태그는 garden/path 초안으로만 제안하고, usage는 proposal/archive_reference로 제안. human-reviewed coarse cluster label. temporal/weather/usage/design_affordance axes intentionally left blank."
cluster_label_queue_v1__coarse__coarse_20_0018,coarse,coarse_20_0018,2,raw_a0ba1b33b2|raw_d5d3c67349,"garden,flowerbed",,,"flower,plant_detail","bright,calm",,,diagnostic_cluster_label,주황색 꽃 근접 사진 2장으로 구성된 small cluster. 하늘/강한 자연광이 명확해 sunny를 제안하나 human review 필요. human-reviewed coarse cluster label. temporal/weather/usage/design_affordance axes intentionally left blank.
cluster_label_queue_v1__coarse__coarse_20_0019,coarse,coarse_20_0019,5,raw_0f37eb334a|raw_ad26a620af|raw_3431004177|raw_1c06d4ca44|raw_c3f434c77f,garden,,,,"quiet,calm,open",,,diagnostic_cluster_label,눈길/과실나무/전망 경관이 섞인 cluster. snow와 non-snow 이미지가 섞여 temporal/weather tag는 비움. human-reviewed coarse cluster label. temporal/weather/usage/design_affordance axes intentionally left blank.
